,Booking ID,Booking Type,Booking Date,Status,Time Slot,Duration (mins),Price,Facility,Service Name,Service Type,Month
0,279d92c6-ce26-47c0-8915-e45b77fe20e2,Facility,2025-05-30,Pending,10:00:00.000000,90.0,42.74,Party Room,Party Room,Facility,5
1,415bfcbe-1a2e-4d4b-809a-4c5b606653b1,Birthday Party,2025-05-29,Pending,14:00:00.000000,105.0,182.06,Party Room,Party Room,Birthday Party,5
2,2100024b-46fc-47b5-ac1c-047d007a4723,Birthday Party,2025-05-09,Confirmed,11:00:00.000000,120.0,207.5,Play Area,Play Area,Facility,5
3,74936def-088f-4d34-bad1-dfa76f78b704,Birthday Party,2025-06-07,Pending,12:00:00.000000,90.0,203.2,Play Area,Play Area,Birthday Party,6
4,6272b4e7-a508-4ed7-bae0-21f7293287a8,Class,2025-04-13,Pending,15:00:00.000000,120.0,161.14,Party Room,Art,Class,4
5,6fe4a4d1-8533-4981-acd5-860b9c381639,Birthday Party,2025-05-10,Confirmed,11:00:00.000000,45.0,278.07,Party Room,Party Room,Facility,5
6,ab8e1bb4-1268-4983-a726-99144a1fcb13,Facility,2025-05-18,Pending,14:00:00.000000,105.0,161.82,Party Room,Party Room,Class,5
7,8f0f2078-cbdf-48ca-81a9-c3fd6adae8ee,Birthday Party,2025-04-23,Confirmed,14:00:00.000000,105.0,282.96,Party Room,Party Room,Facility,4
8,d10de4ee-1592-438c-9897-b66f9e236eea,Birthday Party,2025-05-19,Confirmed,14:00:00.000000,105.0,0.0,Party Room,Party Room,Birthday Party,5
9,13e526c2-f8cc-463d-8ce5-2a6652dcc7c0,Facility,2025-06-02,Pending,16:00:00.000000,90.0,44.41,Play Area,Play Area,Facility,6
10,a0f4c1e1-52ab-4257-bc30-768b0208fb46,Birthday Party,2025-04-08,Pending,14:00:00.000000,105.0,47.55,Party Room,Party Room,Facility,4
11,fb5092f9-f7ac-4144-b477-0650c88134a4,Class,2025-04-20,Pending,13:00:00.000000,45.0,186.42,Party Room,Dance,Class,4
12,e04be9cc-0d19-4322-929f-7dbbc79515de,Birthday Party,2025-06-11,Pending,14:00:00.000000,105.0,198.3,Play Area,Play Area,Birthday Party,6
13,74b8102e-eef6-4774-a134-5a3d0d012c3d,Class,2025-06-04,Pending,16:00:00.000000,120.0,83.48,Party Room,Art,Class,6
14,e6bcd389-c931-41d0-9dae-c3e1015057c0,Facility,2025-04-06,Pending,10:00:00.000000,90.0,180.94,Play Area,Play Area,Facility,4
15,e8e2f341-6a4f-43b5-aee5-0b35878474cd,Class,2025-05-10,Confirmed,10:00:00.000000,90.0,30.53,Party Room,Art,Class,5
16,9bdfab08-b764-4f66-b295-e61de9f134af,Class,2025-03-26,Pending,13:00:00.000000,105.0,0.0,Party Room,Gymnastics,Class,3
17,c34016f8-4a55-4b01-b3d0-90799d6f1fbb,Facility,2025-04-25,Confirmed,09:00:00.000000,120.0,0.0,Party Room,Party Room,Facility,4
18,75c5e04f-5c54-4d1c-8913-e72008497171,Class,2025-05-29,Confirmed,13:00:00.000000,105.0,173.37,Party Room,Dance,Class,5
19,998c97de-af1b-439d-bed9-8f4a4059e006,Class,2025-03-31,Pending,13:00:00.000000,105.0,0.0,Play Area,Gymnastics,Facility,3
20,1321e371-eafa-448a-82cf-e5ba33490663,Birthday Party,2025-05-13,Confirmed,11:00:00.000000,90.0,150.79,Play Area,Play Area,Birthday Party,5
21,90662fb0-58f0-41ed-b6cf-cedaea6bc8a1,Class,2025-05-20,Confirmed,11:00:00.000000,45.0,162.42,Party Room,Dance,Class,5
22,b15b65c4-2016-41ce-be0a-56b41ebaaf28,Class,2025-03-30,Pending,12:00:00.000000,120.0,116.0,Party Room,Art,Class,3
